NREL S823,SG6043,SG6043,,NREL S823,NACA 4415,SG6043,,NACA 4415,SG6043,SG6043,,NACA 4415,NACA 4415,SG6043
positions,chord(m),twist(Deg),,positions,chord(m),twist(Deg),,positions,chord(m),twist(Deg),,positions,chord(m),twist(Deg)
0.05,0.10104031,25.69,0.448375085,0.025,0.076,35.848,,0.025,0.075,36.848,,0.025,0.075,36.848
0.06,0.088461317,21.05,0.367391808,0.037,0.084,29.633,,0.037,0.083,30.633,,0.037,0.083,30.633
0.07,0.078313692,17.46,0.304734487,0.049,0.083,24.516,,0.049,0.082,25.516,,0.049,0.082,25.514
0.08,0.070058847,12.35,0.215548163,0.05,0.082,25.009,,0.05,0.078,27.509,,0.061,0.078,21.365
0.12,0.045954419,11.02,0.192335284,0.061,0.078,21.365,,0.061,0.075,23.865,,0.072,0.073,18.008
0.13,0.042646017,9.88,0.17243853,0.072,0.073,18.008,,0.072,0.07,20.508,,0.084,0.068,15.276
0.14,0.039769216,8.89,0.155159771,0.084,0.068,15.276,,0.084,0.065,17.776,,0.096,0.063,13.03
0.15,0.037246933,8.02,0.139975406,0.096,0.063,13.03,,0.096,0.06,15.53,,0.108,0.058,11.162
0.16,0.035018921,7.27,0.126885437,0.108,0.058,11.163,,0.108,0.055,13.663,,0.12,0.054,9.594
0.17,0.033037539,6.59,0.115017198,0.12,0.054,9.594,,0.12,0.051,12.094,,0.132,0.05,8.26
0.18,0.031264704,5.99,0.104545222,0.132,0.05,8.26,,0.132,0.048,10.76,,0.143,0.047,7.116
0.19,0.029669649,5.45,0.095120444,0.143,0.047,7.116,,0.143,0.045,9.616,,0.15,0.043,9.049
0.2,0.028227286,4.96,0.086568331,0.15,0.043,9.049,,0.155,0.042,8.625,,0.155,0.042,8.625
0.21,0.026916968,4.52,0.078888882,0.155,0.042,8.625,,0.167,0.039,7.76,,0.167,0.039,7.76
0.22,0.025721565,4.12,0.071907565,0.167,0.039,7.76,,0.179,0.037,6.998,,0.179,0.037,6.998
0.23,0.024626754,3.75,0.065449847,0.179,0.037,6.998,,0.191,0.035,6.323,,0.191,0.035,6.323
0.24,0.023620473,3.41,0.059515727,0.191,0.035,6.323,,0.203,0.033,5.721,,0.203,0.033,5.721
0.25,0.022692495,3.09,0.053930674,0.203,0.033,5.721,,0.214,0.031,5.182,,0.214,0.031,5.182
,,,,0.214,0.031,5.182,,0.226,0.03,4.695,,0.226,0.03,4.695
,,,,0.226,0.03,4.695,,0.238,0.029,4.254,,0.238,0.029,4.254
,,,,0.238,0.029,4.254,,0.25,0.027,3.853,,0.25,0.027,3.853
,,,,0.25,0.027,3.853,,,,,,,,
