Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-7,-0.1974,0.09204,0.08868,-0.0635,0.9587,0.0413
-6.75,-0.1929,0.08903,0.08569,-0.0693,0.9517,0.0432
-6.5,-0.1808,0.08379,0.08044,-0.0844,0.94,0.0439
-6.25,-0.1694,0.08038,0.07706,-0.0795,0.9389,0.0447
-6,-0.1475,0.07798,0.07465,-0.0792,0.9376,0.0474
-5.75,-0.1444,0.07538,0.07207,-0.0803,0.9282,0.0487
-5.5,-0.0998,0.06666,0.06301,-0.1073,0.9186,0.0526
-5.25,-0.0941,0.06337,0.05989,-0.1034,0.9146,0.0535
-5,-0.0745,0.06102,0.05755,-0.1031,0.912,0.0548
-4.75,-0.0418,0.05737,0.05384,-0.1084,0.9099,0.0576
-4.5,-0.0053,0.05039,0.04637,-0.1212,0.9011,0.0638
-4.25,0.0173,0.0477,0.04379,-0.1219,0.8981,0.0655
-4,0.0715,0.04505,0.04054,-0.1305,0.8961,0.0752
-3.75,0.1027,0.03977,0.03534,-0.1344,0.8949,0.0781
-3.5,0.1156,0.03863,0.03423,-0.1329,0.8871,0.0817
-3.25,0.1833,0.02948,0.02353,-0.1423,0.8865,0.0531
-3,0.2272,0.0256,0.01894,-0.1454,0.8848,0.0439
-2.75,0.2676,0.02333,0.01635,-0.1479,0.8831,0.0434
-2.5,0.3091,0.02166,0.01438,-0.1504,0.8818,0.0444
-2.25,0.3497,0.02054,0.01326,-0.1529,0.8804,0.0483
-2,0.3922,0.01939,0.01199,-0.1553,0.8794,0.0513
-1.75,0.4358,0.01823,0.01086,-0.1582,0.8786,0.0574
-1.5,0.4493,0.01812,0.01079,-0.1555,0.869,0.0669
-1.25,0.4918,0.01717,0.00999,-0.1583,0.8673,0.1112
-1,0.5354,0.01637,0.00947,-0.1615,0.8659,0.185
-0.75,0.5782,0.01485,0.00934,-0.165,0.8648,0.6047
-0.5,0.6123,0.01417,0.00904,-0.1652,0.8631,0.7653
-0.25,0.6156,0.01418,0.00926,-0.1596,0.8529,0.8735
0,0.6574,0.01371,0.00871,-0.1618,0.8504,1
0.25,0.7012,0.0134,0.00824,-0.1647,0.8482,1
0.5,0.7223,0.01359,0.00836,-0.1633,0.8395,1
0.75,0.7609,0.01336,0.00801,-0.1651,0.8354,1
1,0.8033,0.01305,0.00759,-0.1676,0.8323,1
1.25,0.8248,0.01321,0.00771,-0.1663,0.8231,1
1.5,0.8634,0.01296,0.00737,-0.1681,0.8182,1
1.75,0.8912,0.01297,0.00734,-0.1678,0.8103,1
2,0.9245,0.01283,0.00714,-0.1686,0.8034,1
2.25,0.9542,0.01279,0.00706,-0.1687,0.7954,1
2.5,0.9855,0.01268,0.00691,-0.169,0.7871,1
2.75,1.0122,0.01268,0.00689,-0.1685,0.7773,1
3,1.0465,0.01252,0.00667,-0.1694,0.7691,1
3.25,1.0694,0.01258,0.00673,-0.1681,0.7575,1
3.5,1.0963,0.01257,0.00671,-0.1677,0.7465,1
3.75,1.1261,0.0125,0.00659,-0.1677,0.7355,1
4,1.151,0.0125,0.00658,-0.1668,0.7222,1
4.25,1.1745,0.01255,0.00662,-0.1656,0.7079,1
4.5,1.1985,0.01259,0.00666,-0.1646,0.6926,1
4.75,1.2226,0.01265,0.00668,-0.1635,0.6758,1
5,1.246,0.01276,0.00674,-0.1624,0.6579,1
5.25,1.2668,0.01293,0.00689,-0.1608,0.6379,1
5.5,1.2878,0.01314,0.00707,-0.1592,0.6169,1
5.75,1.3086,0.01339,0.00724,-0.1576,0.5945,1
6,1.3269,0.0137,0.00749,-0.1556,0.5697,1
6.25,1.3443,0.01408,0.00779,-0.1534,0.5432,1
6.5,1.3598,0.01453,0.00812,-0.151,0.5147,1
